text,label
三是进一步推进利率市场化和人民币汇率形成机制改革，提高金 56 融资源配置效率，完善金融调控机制。,0
对外贸易持续大幅下降，贸易顺差有所减少。,0
第三，发达经济体新一轮宽松货币政策对全球经济影响存在不确 定性。,0
农村信用社改革取得重要进展和阶段性成果。,0
切实支持巩固拓展脱贫攻坚成果和全面推进乡村振兴。,0
制造业中长期贷款增速为 24.7%， 创十年来新高。,0
2009 年上半年，我国金融市场继续健康平稳运行，市场流动性 充裕。,0
三是在银 行间外汇市场引入做市商制度，以活跃外汇市场交易，提高外汇市场 流动性，增强中央银行调控的灵活性，进一步提高人民币汇率形成的 市场化程度。,0
二季度欧元区实际 GDP 环比增长 0.3%，结束了此前连续 6 个季度的萎缩态势。,1
七是健全金融风险预防、预警、处置、问责制度体系。,1
金融机构超额 准备金率为 1.8%。,0
持续深化开发性、政策性金融机构改革。,0
部分中小企业出现经营困难和资金短缺，主要是面临供给层面的成本约束， 包括原材料、劳动力、资源等成本因素。,1
④“—”表示数据缺失或者有关业务量很小。,1
二是部分申请贷款的企业资产负债率较高，盈利能力差，缺乏规范的财务报表。,1
完善经常项目核 销制度，健全非现场核查体系，进一步便利企业和个人用汇。,0
对保持就业 岗位基本稳定的企业尤其是中小微企业，适当延长延期还本付息政策。,1
在保持经济平稳增长的同时加快推进经济结构调整和转变 发展方式，从中长期看有利于经济的健康可持续发展，有利于拓展经 济长期增长的潜在空间。,0
利率管 制取消后，美国商业银行倒闭数量有所上升，但由于有较为完善的市场基础和健 全的存款保险制度，总体上未对金融稳定产生过大的冲击。,1
目前制造业 和房地产投资在波动中趋于下行，经济增长在较大程度上依靠基础设 施投资托举，加之低效率企业大量占用资源、资金使用效率不高，全 社会债务水平上升较快，经济金融领域的潜在风险值得关注。,1
在总需求稳中有所放缓的情况下，个别商品价格 上涨难以持续推动整体物价水平上行。,1
其中，生活资料价格涨幅相对稳定，生产资料价格涨幅 快速上升。,0
④农村合作金融机构包括 农村商业银行、农村合作银行、农村信用社。,0
美国次级抵押贷款风波导致全球性金融市场震荡。,1
国债收益率上扬的主要原因是经济前景看好，同 时市场对通货膨胀预期较一季度有所上升。,0
美国通货紧缩压力已有所减弱，美联储年内很可能将联邦基金 目标利率维持在 1%。,1
美国 经济政策调整仍存在不确定性，可能对全球资本流动和资金成本产生 较大影响，欧元区经济仍较疲弱，存在一定通缩风险，新兴市场经济 增长相对乏力，全球经济仍面临诸多长期的结构性问题。,1
网上零售业保持平稳增长态势，展现出较强的发展韧性和新的发 展趋势。,0
指导省级利率自律机制建立和完善存款利率联动调整机制，鼓励 和引导辖内地方法人金融机构及时跟随国有银行和主要股份制银行 调整存款利率，提高存款利率传导效率，进一步增强金融支持实体经 济的可持续性。,0
防范化解金融风险取得新成效。,0
图4 银行间市场国债收益率曲线变化情况 国债收益率下行。,1
美国就业改善仍不明显。,0
二是高技术产业投资增长加快。,0
全球经济的债务负担有所上升。,1
一是宏观风险得到有效控制。,1
欧洲房地产市场下滑明显。,1
强化外汇形势监测预警和管理。,1
灵活开展公开市场操作。,0
信贷结构持续优化。,0
央行再贷款可以增强银行信贷投放和货币创造能力，但无法替代银行贷款。,0
经济结构不断优化，新兴动能加快成长，质量效益明显提高。,0
反过来，物价水平的普遍连续上涨，也会造成劳动者生活成本提高，刺激劳动者 要求增加工资薪酬，从而推升劳动力成本。,0
强化对进口延期付汇、出口 预收货款等贸易信贷资金的管理和监控。,1
主要工业国家经济恢复不同步，恢复态势和程度差异较大。,0
人民币对欧元、日元等其他国际主要货币汇率多数贬值。,1
未来价格走势尚有不确定性。,1
四是地方债发行 有所放缓，地方政府存量债务置换对贷款的替代作用减弱。,1
二是消费增长有望保持稳定，在拉动经济增长中发挥更大 作用。,0
2006 年以来，尽管各主要货币当局多次加息，目前利率仍保持在相对较低 的水平。,1
随着产 权制度改革稳步推进，可持续发展机制基本建立。,0
7 水价形成机制不完善是造成以上问题的重要原因之一。,1
6月末，国债、金融债券和公司信用类债券发行利率均明显回落。,1
保持房地产业的持续、稳 定、健康发展，对国民经济健康发展至关重要。,0
近年来，我国持续 推进供给侧结构性改革，经济发展质量提升。,0
展望未来，我国机械工业高质量发展将扎实推进。,0
境外宽松货币政策的溢出效应值得关注。,0
继续推进产品与业务创新。,0
从食品和非 食品分类看，食品价格上涨5.1%，拉动CPI上涨1.7个百分点；非食品 价格上涨0.8%，拉动CPI上涨0.5个百分点。,0
2009 年前三季度，非金融性公司及其他部门贷款利率水平回落 后保持低位平稳运行。,1
