year,quarter,Pos,Neg,Neg_net
2013,3,0.05910467282065269,0.02563538146817211,-0.03346929135248057
2013,4,0.062904495997698,0.022576202537958275,-0.04032829345973973
2014,1,0.05139236916401809,0.028812710241479415,-0.02257965892253867
2014,2,0.05880352633803243,0.02392933926956753,-0.034874187068464894
2014,3,0.05663674368506846,0.029581570109251866,-0.02705517357581659
2014,4,0.05189610301538136,0.02795456097977785,-0.023941542035603516
2015,1,0.050848811588706286,0.02433890055387298,-0.026509911034833314
2015,2,0.051378363154271446,0.022497032229085088,-0.028881330925186362
2015,3,0.054922270308209196,0.026069154350155933,-0.028853115958053257
2015,4,0.050313831302681196,0.028998438209768503,-0.02131539309291269
2016,1,0.057497349560274434,0.028228496619199177,-0.029268852941075257
2016,2,0.05229317523411655,0.02867794672361883,-0.023615228510497722
2016,3,0.05644486809569158,0.025692466813029086,-0.03075240128266249
2016,4,0.054617401042678836,0.02185515696182002,-0.03276224408085881
2017,1,0.057478944673616104,0.023792375549531154,-0.03368656912408494
2017,2,0.05515050934896203,0.0293445243957675,-0.025805984953194534
2017,3,0.06201066751320304,0.021999476778517133,-0.040011190734685904
2017,4,0.062116651585706804,0.022295375417016244,-0.03982127616869055
2018,1,0.0578378045824472,0.02541001284260153,-0.03242779173984566
2018,2,0.05617597073365444,0.025133355425099927,-0.031042615308554518
2018,3,0.0558661679434349,0.025067385957310544,-0.030798781986124353
2018,4,0.051253911622854934,0.0261569355643291,-0.025096976058525837
2019,1,0.057568631388283574,0.022045038714869174,-0.03552359267341439
2019,2,0.05508655493713722,0.027020042102862695,-0.02806651283427452
2019,3,0.05615954633574136,0.025789536460548153,-0.03037000987519321
2019,4,0.05907157591560969,0.025889270403418294,-0.0331823055121914
2020,1,0.05458647438188757,0.03462494884117554,-0.01996152554071204
2020,2,0.05314082033543671,0.03140382505894837,-0.02173699527648834
2020,3,0.06144731754828007,0.02747443832060284,-0.03397287922767723
2020,4,0.058555593818638375,0.029876596713208626,-0.02867899710542975
2021,1,0.05632251510028282,0.02044632028880059,-0.03587619481148223
2021,2,0.061687130783184205,0.02350066543099392,-0.03818646535219028
2021,3,0.055063095006593114,0.024862917755089003,-0.030200177251504114
2021,4,0.05084374594504962,0.028616552641202338,-0.02222719330384728
2022,1,0.05089604675791028,0.025120581355191414,-0.025775465402718863
2022,2,0.05283333692478906,0.02722672878007949,-0.025606608144709567
2022,3,0.05118763329170549,0.023562440269717648,-0.02762519302198784
2022,4,0.052174783919232685,0.029204531222054075,-0.022970252697178613
2023,1,0.04829496390748857,0.030284189361453752,-0.01801077454603481
2023,2,0.05918572051850128,0.023182582112225424,-0.03600313840627586
2023,3,0.05130013002942152,0.02033852796163491,-0.03096160206778661
2023,4,0.0573380312658633,0.022683975260378957,-0.034654056005484345
2024,1,0.0604872403769439,0.01900164517919839,-0.04148559519774551
2024,2,0.05575399430050018,0.025336150868522735,-0.03041784343197744
2024,3,0.0596046438305474,0.017159013296943845,-0.042445630533603555
2024,4,0.0613475390800239,0.016681252353618906,-0.04466628672640499
