id,year,quarter,section,sent_id_in_report,text,label
23562,2012,4,S4,537,（六）国际收支状况继续改善 经常项目收支继续保持基本平衡，资本和金融项目呈现净流出。,0
42769,2020,3,S2,188,一是存量浮动利率贷款定价基准转换工作顺利完成。,0
13599,2008,2,S4,491,房地产开发贷款余额为 1.95 万亿元，同比增长 17.7%， 增幅比上年同期降低 8 个百分点；购房贷款余额为 3.3 万亿元，同比 增长 25.6%，增幅比上年同期提高 1.8 个百分点。,0
34949,2017,3,S3,231,2013 年，人民银行指导建立市场 利率定价自律机制（以下简称自律机制），并专门下设Shibor工作组，进一步加 强对 Shibor 报价的监督管理。,0
22553,2012,2,S2,83,中国人民银行一方面主动调减公开市场对 冲操作规模，另一方面适当发挥存款准备金工具的流动性调节作用， 在 2011 年 12 月 5 日下调存款准备金率 0.5 个百分点的基础上，于 2012 年 2 月 24 日和 5 月 18 日两次下调存款准备金率各 0.5 个百分 点，保持银行体系流动性合理充裕。,0
32262,2016,3,S2,105,未来，中国人民银行将继续密切关 注流动性形势和市场环境变化，进一步完善公开市场操作机制，丰富操作工具和 期限品种，加强与市场沟通，不断提高操作的前瞻性、针对性和有效性。,0
9656,2006,4,S5,447,完善流动性分析预测体系，搭配运用公开市场操作、提高存款 准备金率等方式有效调节银行体系流动性，引导货币信贷合理增长和 42 货币市场利率平稳运行。,0
32364,2016,3,S3,207,9 月份同业拆借 月加权平均利率为 2.25%，比 6 月高 11 个基点，质押式回购月加权 平均利率为 2.28%，比 6 月高 18 个基点。,0
45290,2021,3,S4,305,欧元区三季度 GDP 环比增长 2.2%，但消费增长也出现 放缓迹象。,1
37357,2018,1,S5,552,也要看到，制约经济持续向好的结构性、深层次问题仍然突出， 结构调整和改革任重道远，防范化解重大风险的任务仍然艰巨。,1
4189,2004,1,S4,293,27 专栏 6：增长、外部性与科学的发展观 经济发展需要一定的增长速度，特别是作为发展中的大国更需要长期保持较 快的速度，但也不能片面追求速度。,0
53837,2024,4,S3,379,2 月，中国人民银行发布《关于 银行间债券市场柜台业务有关事项的通知》，进一步明确柜台债券业 务品种、交易方式和投资者开户等方面的要求。,0
8393,2006,3,S2,99,根据《中央国库现金管理暂行办法》，国库现金管理将遵循安全性、流动性 和收益性相统一的原则，从易到难、稳妥有序地开展。,0
41675,2019,4,S3,298,人民币利率互换交易的浮动 端参考利率主要包括 7 天回购定盘利率和 Shibor，与之挂钩的利率互 换交易名义本金占比为 72%和 26.4%。,0
28595,2014,4,S4,480,分三大门类看，采矿业增加值比上年增长 4.5%，制造业增长 9.4%，电力、热力、燃气及水的生产和供应业增 长 3.2%。,0
51951,2024,1,S4,389,劳动力市场供需趋于平衡。,0
12073,2008,1,S1,48,当前货币信贷调控虽取得初步成效，但基础尚不稳固。,0
17593,2010,3,S4,536,房地产贷款余额增速回落。,1
46675,2021,4,S4,534,生产价格涨幅较高。,0
51845,2024,1,S3,283,一季度，银行间市场债券回购累计成交 418.7万亿元，日均成交6.9万亿元，同比增长18.6%；同业拆借累计成 交26.3万亿元，日均成交4313亿元，同比减少20.2%。,1
3007,2003,3,S4,255,9 月 30 日，美 国道指和纳指比上年末分别回升了 11.2%和 33.5%，日经 225、法兰 克福DAX、英国《金融时报》100和巴黎CAC40等股指分别回升了19.1%、 12.6%、3.8%和 3.9%。,0
30444,2015,2,S3,317,（二）完善证券市场基础性制度建设 A 股市场全面放开一人一户限制。,0
22216,2012,3,S4,337,2012 年第三季度，全球经济继续缓慢增长。,0
42621,2020,3,S1,40,初步统计，9 月末社会融资规模存量为 280.07 万亿元，同比增长 13.5%，增速比上年末高 2.8 个百分点。,0
40380,2019,3,S3,243,第三季度，金融市场整体运行平稳。,0
21614,2012,1,S4,312,受外需下降等因素影响，日本出口疲软继续拖累整体经济。,1
27968,2014,2,S4,474,价格改革继续稳步推进。,0
8313,2006,3,S1,19,中央银行流动性管理的基础是对银行体系流动性需求和供给的分析预测。,0
31783,2016,1,S3,266,货币市场利率水平保持平稳。,0
18598,2010,4,S4,309,第三季度， 日本 GDP 环比折年率为 4.5%，好于预期。,0
11466,2007,4,S2,67,为缓解中央银行票据集中到期投放流动性的压力，于 1 月末重启 3 年期中央银行票据，较为深度冻结银行体系流动性。,0
3977,2004,1,S2,81,四是调整存款准备金率的操作。,0
35752,2017,2,S3,326,二是完善保险公司治理规则。,0
10575,2007,3,S4,363,原材料、燃料、动力购进价格有所上升，工业品出厂价格略有回 落，农业生产资料价格持续快速上涨。,0
14423,2009,1,S2,107,截至第 一季度末，中国工商银行、中国银行、建设银行和交通银行的资本充 足率分别为12.1%、12.3%、12.4%和12.8%，不良贷款率分别为2.0%、 2.2%、1.9%和1.6%，税前利润分别为456.2亿元、252.9亿元、339.8 亿元和101.3亿元。,0
942,2001,2,S5,277,（2）预计今明两年投资增幅有所回升 今年前几个月，更新改造和房地产投资持续保持在20%以上的增长速度、新 开工项目和资金来源两个先行指标均呈现出较快的增长状态、外商直接投资高速 增长，随着今后财政支出的进一步增加，特别是技改贴息力度的增大，投资增幅 将继续保持高增长水平。,0
31374,2015,4,S4,600,如果国内物价和 房价过高，投资就可能转到国外资产价格更低的地方。,0
25205,2013,2,S3,322,上半年，国际黄金价格大幅下跌，最低跌至 1180.1 美元/盎司。,0
49066,2022,4,S4,558,近年来，我国极端天气频发，对粮食安全带来严峻挑战。,1
2633,2003,1,S4,236,在汽车、房地产、家电等行业拉动下，2002年我国钢铁生产增长20.3%， 较 2001年高 4.4个百分点，较 2000年高 17.1个百分点。,0
50095,2023,3,S3,346,9 月 1 日，证监会发布《证券 公司北京证券交易所股票做市交易业务特别规定》。,0
37779,2018,3,S3,340,（五）保险业资产增速回升 2018年1-8月，保险业累计实现保费收入2.7万亿元，同比减少 0.7%；累计赔款、给付7965亿元，同比增加7.1%，其中，财产险赔付 同比增长16%，人身险赔付同比增长0.6%。,1
11151,2007,2,S4,345,上半年，受欧洲中央银行连续加 息影响，欧元利率延续了 2006 年以来缓慢上升的态势，6月 29 日， 欧元区一年期同业拆借利率 Euribor 升至 4.53%，比年初上升 0.4 个 百分点。,0
7882,2006,1,S2,95,人民币兑欧元、日元和港币汇率 中间价根据当日人民币兑美元汇率中间价与上午9时国际外汇市场欧元、日元和 港币兑美元汇率套算确定。,0
14273,2008,4,S5,589,建立国际收支风险双 向监测预警框架，进一步健全国际收支应急保障制度。,0
9574,2006,4,S4,365,2006 年，39 个工业大类行业中， 22 个行业工业增加值同比增速超过 16.6%的全国水平，其中重工行业 增势强劲，有色、建材、机械、化工部门增长最快。,0
30159,2015,2,S1,32,从期限看，中长期贷款比年初增加 3.7 万亿 元，同比多增 3847 亿元，增量占比为 55.8%。,0
43777,2020,2,S5,582,在巩固攻坚战取得的 阶段性成果基础上，坚持“稳定大局、统筹协调、分类施策、精准拆 弹”的基本方针和政策，统筹考虑宏观经济形势新变化，把握好抗击 疫情、恢复经济和防控风险之间的关系，稳妥推进各项风险化解任务， 牢牢守住不发生系统性金融风险的底线。,1
19094,2011,1,S3,186,人民币利率互换交易 的浮动端参考利率包括 Shibor、一年期定存利率以及 7 天回购定盘 利率，与之挂钩的利率互换交易名义本金占比分别为 31.7%、3.0%和 65.3%。,0
32059,2016,1,S4,542,全国房屋施工面积 61.8 亿平方米， 同比上升 5.8%，增速较上年全年扩大 4.5 个百分点。,0
50560,2023,2,S2,249,6月至8月是港股分红季，上市公司大部分分红资金需 购汇解决。,0
40501,2019,3,S4,364,全球经济和贸易相辅相成，贸易萎缩可能进一步影响企业投 资，加剧全球经济放缓。,1
5803,2004,4,S5,517,积极稳妥地推进人民币汇率形成机制改革，保持人民币 汇率在合理、均衡水平上的基本稳定。,0
6270,2005,3,S1,69,9 月 30 日，人民币对美元 汇率为 8.0920 人民币/美元，较上年末升值 2.28%。,0
41568,2019,4,S2,191,二是持续加大 乡村振兴金融服务投入。,0
285,2001,1,S4,285,由于成品油价格到 去年下半年才与国际接轨，今年上半年石化行业实现利润仍有较大增长空间。,0
29537,2015,3,S2,76,第三季度以来，中国经济下行压力较大，价格涨幅保持低位，外 汇占款变化、美联储加息预期等不确定因素有所增多。,1
29248,2015,1,S4,459,这意味着现代的货币政策调控不仅要 靠操作，还要靠对预期的引导。,0
9311,2006,4,S2,102,2007 年1月4日Shibor正式对外公布。,0
47709,2022,3,S3,337,7 月 4 日，人民银行，香港金 管局、香港证监会连线举办“债券通”五周年论坛暨“互换通”发布 仪式。,0
21280,2011,4,S5,579,二是着力优化信贷结构，更好地服务实体经济发展。,0
34839,2017,3,S2,121,在市场环境已转 向中性的情况下，有必要使前期为抑制外汇市场顺周期波动而出台的 逆周期宏观审慎管理措施也回归中性，强化外汇市场价格发现功能， 提高市场流动性，更好地服务于实体经济，促进经济持续、协调、平 稳发展。,0
35439,2017,2,S1,13,货币 乘数为 5.37，比 3 月末高 0.08。,0
5114,2004,2,S4,290,上半年，全社会固定资产投资同比增长 28.6%，同比回落 2.5 个百分点，比一季度回落 14.4 个百分点。,1
24511,2013,3,S3,251,前三季度沪、深股市累计成交 34.5万亿元，同比增长39.6%，日均成交1949亿元，同比多成交591 亿元。,0
19197,2011,1,S4,289,一是发达经济体人口老龄化加剧，高福利支出使财政 不堪重负，结构性改革又因利益集团反对和政治考虑而难以深入推进，储备货币 优势也使其遏制过度负债行为的动力不足。,1
44042,2020,4,S2,264,十一、深化外汇管理体制改革 推动金融市场双向开放。,0
47196,2022,1,S4,392,二是全球主要股指普遍 下跌。,0
15071,2009,3,S4,245,财政赤字继续大幅上升，在 9 月 30 日结束 的 2009 财年，财政赤字高达 1.42 万亿美元，是 2008 财年赤字额的 3.1 倍。,0
5979,2005,1,S3,176,商业银行设立基金管理公司，鼓励了金融创新，有 利于促进金融市场长期健康协调发展，推进商业银行改革，优化资源 配置。,0
13653,2008,2,S5,545,保持货币政策的连续性 和稳定性，增强金融宏观调控的预见性、针对性和灵活性，根据国内 外形势变化适时微调，合理把握调控的重点、节奏、力度，坚持区别 对待、有保有压，加强对经济重点领域和薄弱环节的金融支持力度， 平衡好控制通货膨胀与保持经济较快增长的关系，促进经济又好又快 发展。,0
39020,2018,4,S2,278,香港 人民币央行票据发行符合市场需求，既丰富了香港市场高信用等级人 民币投资产品系列和人民币流动性管理工具，也有利于完善香港人民 币债券收益率曲线，有助于推动人民币国际化。,0
6605,2005,3,S4,404,另一方面，过低的 成品油价使得价格杠杆在石油供求调节上发挥不了应有的作用，市场配置石油资 源的基础性作用失效，不利于节约用油，同时还导致了不正常的投机需求快速增 加，进而加剧了市场供求的紧张程度，一些地区甚至出现了“油荒”。,1
2440,2003,1,S1,43,3月末，金融机构备付率平均为 5.12%。,0
28423,2014,4,S3,308,2014年，发行以Shibor为基准定 价的浮动利率债券2只，总量为80亿元；发行固定利率企业债582只， 总量为6892亿元，全部参照Shibor定价；发行参照Shibor定价的固定 利率短期融资券10341亿元，占固定利率短期融资券发行总量的98%。,0
2113,2002,4,S2,97,到 2001年底，全 国共计组建各类担保机构300多家，筹集担保资金70多亿元，可担保贷款达400 多亿元。,0
45042,2021,3,S1,57,人民币各项存款余额为 229.2 万亿元，同比增长 8.6%，比年初 增加 16.6 万亿元，同比少增 1.5 万亿元。,0
8845,2006,2,S2,117,一是明确资金支持条件。,0
20291,2011,2,S3,201,此外，随着自身资产 负债状况的改善，外资金融机构融资量同比减少1.3 万亿元。,1
22005,2012,3,S2,126,跨境贸易和投资人民币结算业务量保持较快增长。,0
48249,2022,2,S3,311,股票市场筹资额同比减少。,1
49198,2023,1,S1,43,在此情况下，人民银行对利率水平的把握可 采取“缩减原则”（Attenuation Principle），符合“居中之道”，即决策时相对审 慎，留出一定的回旋余地，适当向“稳健的直觉”靠拢。,0
46434,2021,4,S2,293,2021 年末，人民币对 美元、欧元、英镑、日元汇率中间价分别较 2020 年末升值 2.3%、升 值 11.2%、升值 3.3%和升值 14.1%。,0
26115,2013,4,S4,614,充分调动社会力量的积极性和创造 性，完善市场准入，更充分地发挥市场作用，逐步建立覆盖全生命周 期、内涵丰富、结构合理的健康服务业体系。,0
36363,2017,4,S3,289,交 易所债券回购累计成交260.2万亿元，同比增长11.4%。,0
39844,2019,1,S4,392,消费者信心低迷，消费者信心指数 2019 年 2 月、3 月分别为-7.4、-7.2；制造业 PMI 继续走低，2019 年 2 月、3 月连续跌破荣枯线，分别为 49.3、47.5。,1
87,2001,1,S2,87,"其中,基本建 设投资完成 1319亿元，增长 9.2%，保持回升趋势；更新改造投资完成 473亿元， 增长 25.2%，保持快速增长；房地产开发投资完成 677亿元，增长 22.9%，继续 保持快速增长。",0
39078,2018,4,S3,336,30 银行间债券市场现券交易活跃。,0
34226,2017,1,S2,118,既通过中期借 贷便利（MLF）、抵押补充贷款（PSL）等工具补充中长期流动性缺口， 又合理摆布逆回购、临时流动性便利（TLF）等工具的操作力度、期 限搭配、到期时点和开停节奏，“削峰填谷”熨平临时性、季节性因 素对流动性的扰动，维护流动性运行平稳、中性适度。,0
30987,2015,4,S2,213,2015 年以来，为推动社会融资成本下行，加大金融支持实体经济的 力度，中国人民银行连续五次下调金融机构人民币存贷款基准利率， 其中，金融机构一年期贷款基准利率累计下调 1.25 个百分点至 4.35%；一年期存款基准利率累计下调 1.25 个百分点至 1.5%。,0
26967,2014,3,S1,123,到 2014 年前三季度跨境人民币结算金额已超过 4.8 万亿元，人 民币已成为我国国际收支中第二大跨境支付货币，占全部跨境收支的比重已接近 25%，货物贸易进出口的人民币结算比重则超过 15%。,0
13871,2008,4,S2,187,修订施行《外汇管理条例》；实施出口收结汇联网核查和贸 17 易信贷债权债务登记管理制度，加强贸易外汇资金流与货物流的真实 性一致性核查；初步建立服务贸易外汇业务非现场监管体系；推广直 接投资外汇管理信息系统；实施银行执行外汇管理规定情况考核办 法；进一步发挥异常外汇资金流动监管协调机制作用，打击地下钱庄 违法犯罪活动。,0
5605,2004,4,S4,319,英格兰银行于 2004 年 2 月 5 日、5 月 6 日、6 月 10 日和 8 月 5 日，四次分别提高官方利率 0.25 个百分点，截至 12 月末，官方利率为 4.75%。,0
3356,2003,2,S4,188,日本一季度 GDP增长也为 0.1%，失业率高达 5.4%。,0
52292,2024,3,S2,120,阶段性减免 MLF 质押品。,0
11677,2007,4,S3,278,图 3 2007年银行间市场国债收益率曲线变化情况 收益率（％） 5.00 4.50 4.00 3.50 3.00 1月22日 4月24日 2.50 7月24日 8月28日 10月24日 12月25日 2.00 1.50 期限（年） 1 3 5 10 15 20 27 数据来源：中央国债登记结算有限责任公司。,0
33240,2016,2,S4,472,消费品价格涨幅回落，服务价格涨幅继续扩大， 第二季度消费品价格同比上涨 2.1%，比上个季度低 0.1 个百分点； 服务价格同比上涨 2.1%，比上个季度高 0.1 个百分点。,0
32580,2016,3,S4,423,全国夏粮总产量为 13926 万吨，比上年减少 162 万吨，下降 1.2%，是历史第二高产年。,0
46809,2022,1,S1,5,3 月末，金融机构超额准备金率为 1.7%，比上年同期高 0.1 个百分点。,0
54069,2024,4,S5,611,健全权责一致、激励约束相容 的风险处置责任机制，建立科学合理的金融风险处置成本分担机制。,0
38334,2018,2,S2,239,二是配合有关部 门深化境内商品期货等衍生品市场发展，明确铁矿石期货实物交割外 汇管理规则。,0
6112,2005,1,S4,309,1、房地产行业 今年一季度，随着各项宏观调控措施的进一步落实，房地产信贷 和开发投资增速明显回落，但一些地区存在着房地产业投资规模过 大，供应结构不合理，商品住房价格上涨偏快等问题。,1
44930,2021,1,S5,497,44 物价走势总体稳定，不存在长期通胀或通缩的基础。,0
24155,2013,1,S4,490,其中，黑色金属冶炼和压延加工业 43 利润同比增长 3.3 倍，电力、热力生产和供应业增长 90.5%，汽车制 造业增长 10.6%，石油加工业由亏损转为盈利。,0
16053,2009,4,S3,218,目前，大部分报价行的同业存款均已不同程度地参照Shibor 定价。,0
37671,2018,3,S2,232,外汇市场自律机制和外汇市场指导委员会成立以来，在构建和完善外汇市场 自律规范体系、推动外汇市场自律管理等方面取得了重要进展。,0
44335,2020,4,S4,557,2020 年 末，全国70个大中城市新建商品住宅和二手住宅价格同比上涨3.7%、 2.1%，涨幅较上年分别回落 3.1 个、1.5 个百分点。,0
25509,2013,4,S1,8,2013 年末，基础货币余额为 27.1 万亿元，同比增长 7.4%，比年 初增加 1.9 万亿元。,0
40940,2019,2,S2,222,6月份，DR007均值为 2.41%， 比5月份下降 17个基点;月末DR007为2.56%，比5月末低7个基点，比去年同 期低 45 个基点。,0
53472,2024,4,S1,14,人民币贷款余额为 255.7 万 亿元，同比增长 7.6%，比年初增加 18.1 万亿元。,0
33589,2016,4,S2,166,促进金融支持“双创”，积极推动科技金融结合试点。,0
21837,2012,1,S5,535,一旦需求扩张，潜在的涨价动 力就可能重新显现。,0
15822,2009,2,S5,518,严 格控制对高耗能、高污染和产能过剩行业劣质企业的贷款。,0
34345,2017,1,S3,237,2017年3月末，隔夜、1周Shibor 分别为2.54%和2.85%，均较上年末上升31个基点；3个月和1年期 Shibor为4.39%和4.2%，分别较上年末上升112个和83个基点。,0
48714,2022,4,S2,206,全力做好保障 粮食和重要农产品稳定安全供给的金融服务，加大对农产品加工流通、 乡村新产业新业态的金融资源投入，推动农村一二三产业融合发展。,0
46080,2021,2,S5,519,大宗商品价格大幅 上涨抬升企业成本，一些中小微企业困难较大。,0
7153,2005,2,S5,444,但农民增收也面临不少制约因素，如粮食收购价格下跌、农业生产资 40 料价格居高不下及自然灾害偏重等。,1
14893,2009,3,S2,67,2009 年第三季度，中国人民银行根据国内外经济金融形势和银 行体系流动性变化情况，灵活开展公开市场操作。,0
44603,2021,1,S2,170,做好易地搬迁后续金融服 务，研究加大对国家乡村振兴重点帮扶县的金融资源倾斜。,0
14675,2009,1,S4,359,其中，出口 2 455 亿美元，同比下降 19.7%； 进口 1 832 亿美元，同比下降 30.9%。,1
20130,2011,2,S1,40,③中资区域性中小型银行是 指本外币资产总量小于2万亿元且不跨省经营的银行。,0
9881,2007,1,S3,197,第一季度，债券一级市场累计 发行各类债券（不含央行票据）3434亿元，同比增加272亿元，增长 8.6%。,0
37244,2018,1,S4,439,社会消费品零 售总额为 9.03 万亿元，同比增长 9.8%。,0
14872,2009,3,S1,46,第三季度，银行体系流动性合理充裕，金融机构人民币贷款利率 平稳运行。,0
21944,2012,3,S1,65,从利率浮动情况来看，执行下浮利率的贷款占比上升。,0
9729,2007,1,S1,45,防止利润目标过于短期化，减少具有时点性质的考核指标，全面反映持续 的经营成果。,0
31686,2016,1,S2,169,2015 年 9 月，在中共中央、国务院印 发的《生态文明体制改革总体方案》中，首次明确了建立中国绿色金融体系的顶 层设计。,0
24817,2013,3,S5,557,48 综合各方面情况看，未来一段时期中国经济将保持平稳向好、稳中有 进的态势。,0
24974,2013,2,S1,91,根据国际清算银行的计算，2013 年上半年，人民币名义有效汇率升 值 5.89%，实际有效汇率升值 5.67%；2005 年人民币汇率形成机制改 8 革以来至 2013 年 6 月，人民币名义有效汇率升值 30.47%，实际有效 汇率升值 39.28%。,0
2264,2002,4,S4,248,长期利 率下降主要是下半年市场对主要工业国家经济恢复前景不乐观所致。,0
14141,2008,4,S4,457,GDP缩减指数有所回落。,0
28276,2014,4,S2,161,总体看，各期限存款加权平均利率相当于基准利率的1.17倍左右。,0
49583,2023,1,S4,428,36 服务业明显回升，接触型服务业增长较快。,0
48499,2022,2,S5,561,六是健全金融风险预防、预警、处置、问责制度体系，构建防范 化解金融风险长效机制。,0
9778,2007,1,S2,94,根据流动性的动态变化，又于 4 月 5 日、4 月 29 日分别宣布再次上调人民币存款准备金率 0.5 个百分点，分别 于 4 月 16 日、5 月 15 日实施。,0
2492,2003,1,S2,95,今后，随着金融机构改革和利率市场化的稳步推进，人民银行将 不断完善利率管理，扩大金融机构的利率定价自主权，并通过人民银行的间接调 控，引导利率进一步发挥优化金融资源配置和调控宏观经济运行的作用。,0
35872,2017,2,S4,446,上半年居民消费价格（CPI）同比上涨 1.4%，第二季度各月分别上涨 1.2%、1.5%和 1.5%，平均上涨 1.4%， 涨幅与上个季度持平。,0
37143,2018,1,S3,338,《意见》坚持严控风险的底线思维，坚持服务实体经济的根本目 标，坚持宏观审慎管理与微观审慎监管相结合的监管理念，坚持有的 放矢的问题导向，坚持积极稳妥审慎推进的基本思路，全面覆盖、统 一规制各类金融机构的资产管理业务，实行公平的市场准入和监管。,0
11752,2007,4,S4,353,拉美经济继续保持稳步增长态 势。,0
47324,2022,1,S5,520,要正视困难，更要坚定信心，主动果断作为、积极应变 克难，统筹疫情防控和经济社会发展，深化改革开放，保障基本民生， 着力稳定宏观经济大盘。,0
38548,2018,2,S4,453,乡村消费品零售额增长继续快于城镇，比城镇高 1.3 个百分点。,0
12641,2008,3,S2,70,为应对国际金融危机对我国经济可能产生的影响，中国人民银行 分别于 9 月 16 日、10 月 9 日和 10 月 30 日连续三次下调金融机构存 贷款基准利率，并于 10 月 27 日扩大商业性个人住房贷款利率的下浮 幅度，释放保经济增长和稳定市场预期的信号。,0
26811,2014,1,S5,624,1980 年代以后，主要经济体央行 也开始强调政策的规则性和透明度，更加注重稳定预期在政策调控中的作用，其 核心就是建立起对货币政策的信心和公信力。,0
50250,2023,3,S5,501,三是出口仍具有较强竞争力。,0
43214,2020,2,S1,19,贷款加权平均利率下降，企业贷款利率继续下行。,0
53016,2024,2,S2,214,下阶段，要继续发挥好支持政策对住房租赁产业的推动作用，完善住 房租赁金融支持体系，同时，充分调动市场化机构的积极性，通过更多社会资金 的投入，建立可持续发展的商业模式，支持存量商品房去库存，助力推动房地产 行业转型发展。,0
15843,2009,4,S1,8,12 月末，两 者增速均有所回落，但仍保持较高水平，这与上年同期基数较高也有 一定关系。,1
20757,2011,4,S1,56,受境内资金供求关系变动以及国际金融市场利率走势的影响，外 币存贷款利率总体呈现波动上行走势。,0
18359,2010,4,S2,70,上半年，顺应货币市场利率总 体上行走势，1 年期以下短期操作利率适当上行；下半年，与存贷款 7 基准利率调整相配合，各期限公开市场操作利率均有所上行。,0
19783,2011,3,S4,288,为应对全球经济复苏中出现 的新的不确定性，主要新兴经济体宏观经济政策出现分化。,0
45545,2021,3,S5,560,进一步完善债券市场法制，加强信息披露要求，强化中介机构监管。,0
43194,2020,3,S5,613,稳妥推进各项风险化解任务，坚决不让局部风险发展 成系统性风险、区域性风险演化为全国性风险。,1
13328,2008,2,S3,220,民间借贷 在中外各国均长期存在。,0
25621,2013,4,S2,120,2013 年末，钢铁业中长期贷款同比下降 10.7%， 建材业中长期贷款同比下降 3.3%。,1
34531,2017,1,S4,423,农业生产总体稳定，种植结构调整优化。,0
39338,2018,4,S4,596,全国房屋施工面积为 82.2 亿平方米，同比增长 5.2%，增 速较上年提高 2.2 个百分点。,0
20592,2011,2,S4,502,收支 相抵，收入大于支出 1.24 万亿元。,0
48519,2022,4,S1,11,近年来，我国始终坚持实施稳健的货币政策，维持正常的货币政策空间， 为保持基本稳定的央行利润提供了重要条件。,0
41048,2019,2,S3,330,股票市场筹资额同比增加。,0
22903,2012,2,S4,433,第二季度各月，进口价格同比分别下降 0.2%、1.1%和 0.7%，平 均降幅为 0.7%；出口价格同比分别上涨 4.8%、2.9%和 2.9%，平均涨 幅为 3.5%。,0
42103,2020,1,S2,120,一是保持流动性合理充裕。,0
28817,2015,1,S1,28,总体看，2015 年以来贷款增长较多，金融机构反映贷款需求比较旺盛，特别是金融 机构主动对接国家战略，加大了对一带一路、长江经济带、京津冀协 同发展等战略经济带的信贷支持。,0
47016,2022,1,S2,212,这既维护了银行存款 利率的自主定价权，也有利于引导降低中长期定期存款利率，优化定期存款期限 结构，促进市场有序竞争，提高金融支持实体经济的可持续性。,0
12985,2008,3,S4,414,数据显示，2008 年上半年全国财政收入累计增长 33.3%；第三季度增长 10.5%，各月 分别增长 16.5%、10.1%、3.1%。,0
35621,2017,2,S2,195,农村信用社改革取得重要成果。,0
16239,2009,4,S4,404,在发达经济体，由于能源价格反弹足以抵消 劳动力成本下降的影响，总体通货膨胀率将从2009年的零水平上升到 2010年的1.25%。,1
40198,2019,3,S1,61,从人民币存款部门分布看，住户存 款和非金融企业存款分别同比多增 2.9 万亿元和 9204 亿元；非银行 6 业金融机构存款同比少增 1.8 万亿元。,0
49276,2023,1,S2,121,第一季度，人民银行密切关注宏观经 济金融运行情况，加强银行体系流动性供求形势研判和市场监测，结 合一级交易商需求灵活把握公开市场逆回购操作力度和节奏，与中长 期流动性投放工具合理搭配，保持银行体系流动性合理充裕。,0
39374,2018,4,S5,632,2018 年城镇化率 提高超过 1 个百分点，新型城镇化、服务业、高端制造业以及消费升 级仍有较大的发展空间，回旋空间也比较大。,0
15278,2009,3,S5,452,受全球主要经济体普遍采取大规模经济刺激措施等因素影响， 2009 年以来还出现了国际初级商品价格大幅上涨以及资产价格明显 反弹等现象，也反映出市场上形成了一定的通胀预期。,1
4675,2004,3,S4,307,中国人民 银行 2004 年三季度储户问卷调查显示，居民的消费意愿继续谨慎回 升。,0
6192,2005,1,S5,389,（六）加快推进金融企业改革 推动各类金融企业围绕转换经营机制和建立现代金融企业制度 进行微观重组再造。,0
